Name;ID;Bundesland;2020;2021
Ahrweiler, LK;071310;Rheinland-Pfalz;0,36;0,88
Aichach-Friedberg, LK;097710;Bayern;0,46;1,02
Alb-Donau-Kreis, LK;084250;Baden-Württemberg;0,39;1,02
Altenburger Land, LK;160770;Thüringen;0,18;0,44
Altenkirchen (Westerwald), LK;071320;Rheinland-Pfalz;0,29;0,79
Altmarkkreis Salzwedel, LK;150810;Sachsen-Anhalt;0,20;0,56
Altötting, LK;091710;Bayern;0,49;0,99
Alzey-Worms, LK;073310;Rheinland-Pfalz;0,42;1,00
Amberg-Sulzbach, LK;093710;Bayern;0,41;0,95
Ammerland, LK;034510;Niedersachsen;0,31;0,88
Anhalt-Bitterfeld, LK;150820;Sachsen-Anhalt;0,16;0,43
Ansbach, LK;095710;Bayern;0,39;0,91
Aschaffenburg, LK;096710;Bayern;0,51;1,24
Augsburg, LK;097720;Bayern;0,48;1,13
Aurich, LK;034520;Niedersachsen;0,33;0,78
Bad Dürkheim, LK;073320;Rheinland-Pfalz;0,45;1,07
Bad Kissingen, LK;096720;Bayern;0,48;0,86
Bad Kreuznach, LK;071330;Rheinland-Pfalz;0,37;0,89
Bad Tölz-Wolfratshausen, LK;091730;Bayern;0,62;1,26
Bamberg, LK;094710;Bayern;0,37;0,93
Barnim, LK;120600;Brandenburg;0,34;0,86
Bautzen, LK;146250;Sachsen;0,21;0,56
Bayreuth, LK;094720;Bayern;0,31;0,78
Berchtesgadener Land, LK;091720;Bayern;0,46;1,05
Bergstraße, LK;064310;Hessen;0,52;1,19
Bernkastel-Wittlich, LK;072310;Rheinland-Pfalz;0,28;0,88
Biberach, LK;084260;Baden-Württemberg;0,41;1,00
Birkenfeld, LK;071340;Rheinland-Pfalz;0,27;0,61
Böblingen, LK;081150;Baden-Württemberg;1,35;3,45
Bodenseekreis, LK;084350;Baden-Württemberg;0,64;1,54
Börde, LK;150830;Sachsen-Anhalt;0,22;0,55
Borken, LK;055540;Nordrhein-Westfalen;0,37;1,12
Breisgau-Hochschwarzwald, LK;083150;Baden-Württemberg;0,61;1,28
Burgenlandkreis, LK;150840;Sachsen-Anhalt;0,22;0,54
Calw, LK;082350;Baden-Württemberg;0,57;1,43
Celle, LK;033510;Niedersachsen;0,34;0,83
Cham, LK;093720;Bayern;0,30;0,69
Cloppenburg, LK;034530;Niedersachsen;0,24;0,71
Coburg, LK;094730;Bayern;0,41;0,92
Cochem-Zell, LK;071350;Rheinland-Pfalz;0,24;0,79
Coesfeld, LK;055580;Nordrhein-Westfalen;0,38;1,01
Cuxhaven, LK;033520;Niedersachsen;0,27;0,64
Dachau, LK;091740;Bayern;0,55;1,21
Dahme-Spreewald, LK;120610;Brandenburg;0,38;0,90
Darmstadt-Dieburg, LK;064320;Hessen;0,56;1,31
Deggendorf, LK;092710;Bayern;0,39;0,91
Diepholz, LK;032510;Niedersachsen;0,34;0,88
Dillingen an der Donau, LK;097730;Bayern;0,35;0,87
Dingolfing-Landau, LK;092790;Bayern;0,70;1,10
Dithmarschen, LK;010510;Schleswig-Holstein;0,40;0,85
Donau-Ries, LK;097790;Bayern;0,45;1,05
Donnersbergkreis, LK;073330;Rheinland-Pfalz;0,31;0,74
Düren, LK;053580;Nordrhein-Westfalen;0,39;1,10
Ebersberg, LK;091750;Bayern;0,79;1,71
Eichsfeld, LK;160610;Thüringen;0,23;0,69
Eichstätt, LK;091760;Bayern;0,40;0,86
Eifelkreis Bitburg-Prüm, LK;072320;Rheinland-Pfalz;0,27;0,83
Elbe-Elster, LK;120620;Brandenburg;0,21;0,48
Emmendingen, LK;083160;Baden-Württemberg;0,50;1,63
Emsland, LK;034540;Niedersachsen;0,27;0,82
Ennepe-Ruhr-Kreis, LK;059540;Nordrhein-Westfalen;0,47;1,11
Enzkreis, LK;082360;Baden-Württemberg;0,54;1,27
Erding, LK;091770;Bayern;0,54;1,11
Erlangen-Höchstadt, LK;095720;Bayern;0,82;1,84
Erzgebirgskreis, LK;145210;Sachsen;0,18;0,47
Esslingen, LK;081160;Baden-Württemberg;0,67;1,62
Euskirchen, LK;053660;Nordrhein-Westfalen;0,38;1,06
Forchheim, LK;094740;Bayern;0,57;1,12
Freising, LK;091780;Bayern;0,78;1,52
Freudenstadt, LK;082370;Baden-Württemberg;0,43;1,06
Freyung-Grafenau, LK;092720;Bayern;0,27;0,67
Friesland, LK;034550;Niedersachsen;0,27;0,89
Fulda, LK;066310;Hessen;0,33;0,92
Fürstenfeldbruck, LK;091790;Bayern;0,61;1,30
Fürth, LK;095730;Bayern;0,51;1,06
Garmisch-Partenkirchen, LK;091800;Bayern;0,44;1,04
Germersheim, LK;073340;Rheinland-Pfalz;0,31;1,10
Gießen, LK;065310;Hessen;0,49;1,16
Gifhorn, LK;031510;Niedersachsen;0,31;0,90
Göppingen, LK;081170;Baden-Württemberg;0,47;1,16
Görlitz, LK;146260;Sachsen;0,18;0,41
Goslar, LK;031530;Niedersachsen;0,27;0,74
Gotha, LK;160670;Thüringen;0,37;0,60
Göttingen, LK;031590;Niedersachsen;0,36;0,97
Grafschaft Bentheim;034560;Niedersachsen;0,59;1,37
Greiz, LK;160760;Thüringen;0,16;0,45
Groß-Gerau, LK;064330;Hessen;0,63;1,32
Günzburg, LK;097740;Bayern;0,35;0,90
Gütersloh, LK;057540;Nordrhein-Westfalen;0,45;1,22
Hameln-Pyrmont, LK;032520;Niedersachsen;0,37;0,93
Harburg, LK;033530;Niedersachsen;0,44;1,15
Harz, LK;150850;Sachsen-Anhalt;0,19;0,60
Haßberge, LK;096740;Bayern;0,41;0,90
Havelland, LK;120630;Brandenburg;0,34;0,85
Heidekreis, LK;033580;Niedersachsen;0,30;0,75
Heidenheim, LK;081350;Baden-Württemberg;0,38;0,95
Heilbronn, LK;081250;Baden-Württemberg;0,54;1,47
Heinsberg, LK;053700;Nordrhein-Westfalen;0,32;0,95
Helmstedt, LK;031540;Niedersachsen;0,44;1,02
Herford, LK;057580;Nordrhein-Westfalen;0,42;1,16
Hersfeld-Rotenburg, LK;066320;Hessen;0,29;0,72
Herzogtum Lauenburg;010530;Schleswig-Holstein;0,44;1,10
Hildburghausen, LK;160690;Thüringen;0,13;0,43
Hildesheim, LK;032540;Niedersachsen;0,35;0,88
Hochsauerlandkreis, LK;059580;Nordrhein-Westfalen;0,30;1,00
Hochtaunuskreis, LK;064340;Hessen;0,82;1,78
Hof, LK;094750;Bayern;0,28;0,77
Hohenlohekreis, LK;081260;Baden-Württemberg;0,49;1,08
Holzminden, LK;032550;Niedersachsen;0,24;0,66
Höxter, LK;057620;Nordrhein-Westfalen;0,29;0,88
Ilm-Kreis, LK;160700;Thüringen;0,39;0,83
Jerichower Land, LK;150860;Sachsen-Anhalt;0,18;0,47
Kaiserslautern, LK;073350;Rheinland-Pfalz;0,28;0,75
Karlsruhe, LK;082150;Baden-Württemberg;0,51;1,23
Kassel, LK;066330;Hessen;0,41;1,10
Kelheim, LK;092730;Bayern;0,45;0,95
Kitzingen, LK;096750;Bayern;0,53;1,05
Kleve, LK;051540;Nordrhein-Westfalen;0,33;0,91
Konstanz, LK;083350;Baden-Württemberg;0,56;1,33
Kronach, LK;094760;Bayern;0,32;0,72
Kulmbach, LK;094770;Bayern;0,38;0,90
Kusel, LK;073360;Rheinland-Pfalz;0,22;0,53
Kyffhäuserkreis, LK;160650;Thüringen;0,14;0,43
Lahn-Dill-Kreis, LK;065320;Hessen;0,34;0,86
Landsberg am Lech, LK;091810;Bayern;0,79;1,69
Landshut, LK;092740;Bayern;0,56;1,19
Leer, LK;034570;Niedersachsen;0,32;0,75
Leipzig, LK;147290;Sachsen;0,30;0,71
Lichtenfels, LK;094780;Bayern;0,33;0,80
Limburg-Weilburg, LK;065330;Hessen;0,45;1,11
Lindau (Bodensee), LK;097760;Bayern;0,55;1,16
Lippe, LK;057660;Nordrhein-Westfalen;0,41;1,08
Lörrach, LK;083360;Baden-Württemberg;0,62;1,29
Lüchow-Dannenberg, LK;033540;Niedersachsen;0,28;0,80
Ludwigsburg, LK;081180;Baden-Württemberg;0,70;1,63
Ludwigslust-Parchim, LK;130760;Mecklenburg-Vorpommern;0,15;0,38
Lüneburg, LK;033550;Niedersachsen;0,48;1,21
Main-Kinzig-Kreis, LK;064350;Hessen;0,37;0,90
Main-Spessart, LK;096770;Bayern;0,40;0,88
Main-Tauber-Kreis, LK;081280;Baden-Württemberg;0,38;0,91
Main-Taunus-Kreis, LK;064360;Hessen;0,55;1,29
Mainz-Bingen, LK;073390;Rheinland-Pfalz;0,53;1,13
Mansfeld-Südharz, LK;150870;Sachsen-Anhalt;0,16;0,45
Marburg-Biedenkopf, LK;065340;Hessen;0,37;0,92
Märkischer Kreis, LK;059620;Nordrhein-Westfalen;0,32;0,96
Märkisch-Oderland, LK;120640;Brandenburg;0,28;0,70
Mayen-Koblenz, LK;071370;Rheinland-Pfalz;0,34;0,95
Mecklenburgische Seenplatte, LK;130710;Mecklenburg-Vorpommern;0,17;0,44
Meißen, LK;146270;Sachsen;0,22;0,56
Merzig-Wadern, LK;100420;Saarland;0,25;0,71
Mettmann, LK;051580;Nordrhein-Westfalen;0,53;1,38
Miesbach, LK;091820;Bayern;0,67;1,43
Miltenberg, LK;096760;Bayern;0,40;0,97
Minden-Lübbecke, LK;057700;Nordrhein-Westfalen;0,40;1,02
Mittelsachsen, LK;145220;Sachsen;0,18;0,48
Mühldorf am Inn, LK;091830;Bayern;0,47;1,01
München, LK;091840;Bayern;1,38;2,85
Neckar-Odenwald-Kreis, LK;082250;Baden-Württemberg;0,36;1,03
Neuburg-Schrobenhausen, LK;091850;Bayern;0,40;0,94
Neumarkt in der Oberpfalz, LK;093730;Bayern;0,45;1,03
Neunkirchen, LK;100430;Saarland;0,35;0,77
Neustadt an der Aisch-Bad Windsheim, LK;095750;Bayern;0,61;1,18
Neustadt an der Waldnaab, LK;093740;Bayern;0,35;0,82
Neu-Ulm, LK;097750;Bayern;0,40;1,13
Neuwied, LK;071380;Rheinland-Pfalz;0,35;0,96
Nienburg (Weser), LK;032560;Niedersachsen;0,44;0,94
Nordfriesland, LK;010540;Schleswig-Holstein;0,76;1,50
Nordhausen, LK;160620;Thüringen;0,26;0,65
Nordsachsen, LK;147300;Sachsen;0,19;0,55
Nordwestmecklenburg, LK;130740;Mecklenburg-Vorpommern;0,23;0,55
Northeim, LK;031550;Niedersachsen;0,27;0,83
Nürnberger Land, LK;095740;Bayern;0,55;1,17
Oberallgäu, LK;097800;Bayern;0,54;1,08
Oberbergischer Kreis, LK;053740;Nordrhein-Westfalen;0,40;0,98
