Name;ID;Bundesland;2020;2021
Amberg;093610;Bayern;0,68;1,47
Ansbach;095610;Bayern;0,65;1,23
Aschaffenburg;096610;Bayern;0,49;1,71
Augsburg;097610;Bayern;0,50;1,26
Baden-Baden;082110;Baden-Württemberg;0,73;1,75
Bamberg;094610;Bayern;0,74;1,42
Bayreuth;094620;Bayern;0,56;1,56
Berlin;110000;Berlin;0,69;1,47
Bielefeld;057110;Nordrhein-Westfalen;0,82;1,76
Bochum;059110;Nordrhein-Westfalen;0,51;1,22
Bonn;053140;Nordrhein-Westfalen;0,62;1,56
Bottrop;055120;Nordrhein-Westfalen;0,31;0,85
Brandenburg an der Havel;120510;Brandenburg;0,30;0,89
Braunschweig;031010;Niedersachsen;1,10;2,90
Bremen;040110;Bremen, BL;0,48;1,26
Bremerhaven;040120;Bremen, BL;0,34;0,82
Chemnitz;145110;Sachsen;0,32;0,88
Coburg;094630;Bayern;0,50;1,20
Cottbus;120520;Brandenburg;0,22;0,70
Darmstadt;064110;Hessen;0,94;1,97
Delmenhorst;034010;Niedersachsen;0,29;0,83
Dessau-Roßlau;150010;Sachsen-Anhalt;0,27;0,68
Dortmund;059130;Nordrhein-Westfalen;0,51;1,25
Dresden;146120;Sachsen;0,46;1,06
Duisburg;051120;Nordrhein-Westfalen;0,25;0,73
Düsseldorf;051110;Nordrhein-Westfalen;0,82;2,20
Emden;034020;Niedersachsen;0,30;0,91
Erfurt;160510;Thüringen;0,50;1,14
Erlangen;095620;Bayern;0,72;1,57
Essen;051130;Nordrhein-Westfalen;0,61;1,46
Flensburg;010010;Schleswig-Holstein;0,59;1,30
Frankenthal (Pfalz);073110;Rheinland-Pfalz;0,45;0,99
Frankfurt am Main;064120;Hessen;0,85;2,18
Frankfurt (Oder);120530;Brandenburg;0,27;0,66
Freiburg im Breisgau;083110;Baden-Württemberg;0,80;1,70
Fürth;095630;Bayern;0,57;1,22
Gelsenkirchen;055130;Nordrhein-Westfalen;0,35;0,81
Gera;160520;Thüringen;0,21;0,66
Hagen;059140;Nordrhein-Westfalen;0,41;1,00
Halle (Saale);150020;Sachsen-Anhalt;0,25;0,73
Hamburg;020000;Hamburg;0,73;1,78
