Name;ID;Bundesland;2020;2021
Amberg;093610;Bayern;0,36;0,40
Ansbach;095610;Bayern;0,62;0,82
Aschaffenburg;096610;Bayern;0,38;0,41
Augsburg;097610;Bayern;0,49;0,60
Baden-Baden;082110;Baden-Württemberg;0,81;0,99
Bamberg;094610;Bayern;0,55;0,57
Bayreuth;094620;Bayern;0,53;0,55
Berlin;110000;Berlin;0,37;0,40
Bielefeld;057110;Nordrhein-Westfalen;0,52;0,62
Bochum;059110;Nordrhein-Westfalen;0,19;0,27
Bonn;053140;Nordrhein-Westfalen;0,42;0,68
Bottrop;055120;Nordrhein-Westfalen;0,43;0,45
Brandenburg an der Havel;120510;Brandenburg;0,54;0,62
Braunschweig;031010;Niedersachsen;0,47;0,52
Bremen;040110;Bremen, BL;0,39;0,46
Bremerhaven;040120;Bremen, BL;0,53;0,57
Chemnitz;145110;Sachsen;0,66;0,89
Coburg;094630;Bayern;0,83;0,95
Cottbus;120520;Brandenburg;0,18;0,25
Darmstadt;064110;Hessen;0,63;0,86
Delmenhorst;034010;Niedersachsen;0,35;0,55
Dessau-Roßlau;150010;Sachsen-Anhalt;0,20;0,48
Dortmund;059130;Nordrhein-Westfalen;0,32;0,62
Dresden;146120;Sachsen;0,37;0,59
Duisburg;051120;Nordrhein-Westfalen;0,22;0,28
Düsseldorf;051110;Nordrhein-Westfalen;0,42;0,63
Emden;034020;Niedersachsen;1,16;2,42
Erfurt;160510;Thüringen;0,40;0,45
Erlangen;095620;Bayern;0,39;0,53
Essen;051130;Nordrhein-Westfalen;0,72;0,83
Flensburg;010010;Schleswig-Holstein;0,54;1,11
Frankenthal (Pfalz);073110;Rheinland-Pfalz;0,41;0,45
Frankfurt am Main;064120;Hessen;0,32;0,36
Frankfurt (Oder);120530;Brandenburg;0,37;0,56
Freiburg im Breisgau;083110;Baden-Württemberg;0,26;0,65
Fürth;095630;Bayern;0,65;1,28
Gelsenkirchen;055130;Nordrhein-Westfalen;0,29;0,40
Gera;160520;Thüringen;0,59;0,68
Hagen;059140;Nordrhein-Westfalen;0,34;0,43
Halle (Saale);150020;Sachsen-Anhalt;0,26;0,34
Hamburg;020000;Hamburg;0,69;0,81
Hamm;059150;Nordrhein-Westfalen;0,30;0,43
Heidelberg;082210;Baden-Württemberg;0,69;1,04
Heilbronn;081210;Baden-Württemberg;1,24;1,91
Herne;059160;Nordrhein-Westfalen;0,40;0,49
Hof;094640;Bayern;0,35;0,40
Ingolstadt;091610;Bayern;2,37;3,46
Jena;160530;Thüringen;0,44;0,54
Kaiserslautern;073120;Rheinland-Pfalz;0,49;0,66
Karlsruhe;082120;Baden-Württemberg;0,33;0,47
Kassel;066110;Hessen;0,12;0,19
Kaufbeuren;097620;Bayern;0,34;1,02
Kempten (Allgäu);097630;Bayern;0,58;0,78
Kiel;010020;Schleswig-Holstein;0,71;0,79
Koblenz;071110;Rheinland-Pfalz;0,49;0,71
Köln;053150;Nordrhein-Westfalen;0,29;0,50
Krefeld;051140;Nordrhein-Westfalen;0,19;0,21
Landau in der Pfalz;073130;Rheinland-Pfalz;1,46;1,45
Landshut;092610;Bayern;0,53;0,53
Leipzig;147130;Sachsen;0,38;0,61
Leverkusen;053160;Nordrhein-Westfalen;0,22;0,31
Lübeck;010030;Schleswig-Holstein;0,30;0,33
Ludwigshafen am Rhein;073140;Rheinland-Pfalz;0,14;0,17
Magdeburg;150030;Sachsen-Anhalt;0,34;0,45
Mainz;073150;Rheinland-Pfalz;0,51;0,62
Mannheim;082220;Baden-Württemberg;0,45;0,47
Memmingen;097640;Bayern;0,34;0,34
Mönchengladbach;051160;Nordrhein-Westfalen;0,27;0,35
Mülheim an der Ruhr;051170;Nordrhein-Westfalen;0,23;0,26
München;091620;Bayern;0,90;0,97
Münster;055150;Nordrhein-Westfalen;0,22;0,37
Neumünster;010040;Schleswig-Holstein;0,46;0,47
Neustadt an der Weinstraße;073160;Rheinland-Pfalz;0,90;1,07
Nürnberg;095640;Bayern;0,36;0,56
Oberhausen;051190;Nordrhein-Westfalen;0,40;0,50
Offenbach am Main;064130;Hessen;0,27;0,27
Oldenburg (Oldenburg);034030;Niedersachsen;0,61;0,62
Osnabrück;034040;Niedersachsen;0,54;0,94
Passau;092620;Bayern;1,30;1,98
Pforzheim;082310;Baden-Württemberg;0,43;0,50
Pirmasens;073170;Rheinland-Pfalz;0,15;0,52
Potsdam;120540;Brandenburg;0,36;0,44
Regensburg;093620;Bayern;1,97;2,24
Remscheid;051200;Nordrhein-Westfalen;0,05;0,20
Rosenheim;091630;Bayern;0,13;0,43
Rostock;130030;Mecklenburg-Vorpommern;0,35;0,41
Salzgitter;031020;Niedersachsen;1,02;1,08
Schwabach;095650;Bayern;0,29;0,29
Schweinfurt;096620;Bayern;1,11;1,60
Schwerin;130040;Mecklenburg-Vorpommern;0,05;0,09
Solingen;051220;Nordrhein-Westfalen;0,53;0,66
Speyer;073180;Rheinland-Pfalz;0,95;1,38
Straubing;092630;Bayern;0,50;0,86
Stuttgart;081110;Baden-Württemberg;0,63;1,13
Suhl;160540;Thüringen;0,58;0,64
Trier;072110;Rheinland-Pfalz;0,57;0,64
Ulm;084210;Baden-Württemberg;0,93;1,02
Weiden in der Oberpfalz;093630;Bayern;0,42;0,57
Weimar;160550;Thüringen;0,37;0,43
Wiesbaden;064140;Hessen;0,57;0,78
