Name;ID;Bundesland;2020;2021
Ahrweiler, LK;071310;Rheinland-Pfalz;0,50;0,56
Aichach-Friedberg, LK;097710;Bayern;2,29;2,47
Alb-Donau-Kreis, LK;084250;Baden-Württemberg;1,97;2,11
Altenburger Land, LK;160770;Thüringen;2,84;2,94
Altenkirchen (Westerwald), LK;071320;Rheinland-Pfalz;0,57;0,62
Altmarkkreis Salzwedel, LK;150810;Sachsen-Anhalt;8,38;8,80
Altötting, LK;091710;Bayern;5,22;5,36
Alzey-Worms, LK;073310;Rheinland-Pfalz;4,06;4,13
Amberg-Sulzbach, LK;093710;Bayern;2,67;3,34
Ammerland, LK;034510;Niedersachsen;1,48;1,53
Anhalt-Bitterfeld, LK;150820;Sachsen-Anhalt;5,84;6,15
Ansbach, LK;095710;Bayern;4,39;4,73
Aschaffenburg, LK;096710;Bayern;0,64;0,69
Augsburg, LK;097720;Bayern;1,74;1,79
Aurich, LK;034520;Niedersachsen;6,30;6,37
Bad Dürkheim, LK;073320;Rheinland-Pfalz;0,69;0,75
Bad Kissingen, LK;096720;Bayern;2,56;3,22
Bad Kreuznach, LK;071330;Rheinland-Pfalz;1,81;1,84
Bad Tölz-Wolfratshausen, LK;091730;Bayern;0,74;0,80
Bamberg, LK;094710;Bayern;1,90;2,00
Barnim, LK;120600;Brandenburg;4,43;4,84
Bautzen, LK;146250;Sachsen;1,58;1,66
Bayreuth, LK;094720;Bayern;2,65;2,71
Berchtesgadener Land, LK;091720;Bayern;0,90;0,94
Bergstraße, LK;064310;Hessen;0,69;0,74
Bernkastel-Wittlich, LK;072310;Rheinland-Pfalz;4,01;4,13
Biberach, LK;084260;Baden-Württemberg;2,16;2,27
Birkenfeld, LK;071340;Rheinland-Pfalz;2,64;2,67
Böblingen, LK;081150;Baden-Württemberg;0,36;0,40
Bodenseekreis, LK;084350;Baden-Württemberg;0,64;0,71
Börde, LK;150830;Sachsen-Anhalt;6,06;6,21
Borken, LK;055540;Nordrhein-Westfalen;3,29;3,52
Breisgau-Hochschwarzwald, LK;083150;Baden-Württemberg;0,71;0,77
Burgenlandkreis, LK;150840;Sachsen-Anhalt;4,48;4,66
Calw, LK;082350;Baden-Württemberg;1,00;1,05
Celle, LK;033510;Niedersachsen;1,69;1,72
Cham, LK;093720;Bayern;2,07;2,17
Cloppenburg, LK;034530;Niedersachsen;5,20;5,28
Coburg, LK;094730;Bayern;2,20;2,40
Cochem-Zell, LK;071350;Rheinland-Pfalz;4,65;4,72
Coesfeld, LK;055580;Nordrhein-Westfalen;2,13;2,58
Cuxhaven, LK;033520;Niedersachsen;4,91;5,02
Dachau, LK;091740;Bayern;1,41;1,46
Dahme-Spreewald, LK;120610;Brandenburg;5,72;5,79
Darmstadt-Dieburg, LK;064320;Hessen;0,41;0,44
Deggendorf, LK;092710;Bayern;3,07;3,50
Diepholz, LK;032510;Niedersachsen;5,30;5,54
Dillingen an der Donau, LK;097730;Bayern;3,34;3,41
Dingolfing-Landau, LK;092790;Bayern;4,80;5,00
Dithmarschen, LK;010510;Schleswig-Holstein;19,27;19,70
Donau-Ries, LK;097790;Bayern;3,35;3,47
Donnersbergkreis, LK;073330;Rheinland-Pfalz;4,61;4,76
Düren, LK;053580;Nordrhein-Westfalen;2,35;2,57
Ebersberg, LK;091750;Bayern;0,74;0,82
Eichsfeld, LK;160610;Thüringen;1,64;1,96
Eichstätt, LK;091760;Bayern;2,58;2,86
Eifelkreis Bitburg-Prüm, LK;072320;Rheinland-Pfalz;6,84;7,00
Elbe-Elster, LK;120620;Brandenburg;10,03;10,33
Emmendingen, LK;083160;Baden-Württemberg;0,94;1,04
Emsland, LK;034540;Niedersachsen;5,84;6,13
Ennepe-Ruhr-Kreis, LK;059540;Nordrhein-Westfalen;0,19;0,22
Enzkreis, LK;082360;Baden-Württemberg;0,54;0,61
Erding, LK;091770;Bayern;2,02;2,09
Erlangen-Höchstadt, LK;095720;Bayern;1,12;1,17
Erzgebirgskreis, LK;145210;Sachsen;0,70;0,76
Esslingen, LK;081160;Baden-Württemberg;0,30;0,33
Euskirchen, LK;053660;Nordrhein-Westfalen;1,95;2,13
Forchheim, LK;094740;Bayern;1,25;1,31
Freising, LK;091780;Bayern;1,69;1,93
Freudenstadt, LK;082370;Baden-Württemberg;1,14;1,22
Freyung-Grafenau, LK;092720;Bayern;2,05;2,17
Friesland, LK;034550;Niedersachsen;4,26;4,30
Fulda, LK;066310;Hessen;1,09;1,17
Fürstenfeldbruck, LK;091790;Bayern;0,61;0,66
Fürth, LK;095730;Bayern;1,28;1,43
Garmisch-Partenkirchen, LK;091800;Bayern;0,61;0,64
Germersheim, LK;073340;Rheinland-Pfalz;1,17;1,22
Gießen, LK;065310;Hessen;0,60;0,64
Gifhorn, LK;031510;Niedersachsen;1,66;1,98
Göppingen, LK;081170;Baden-Württemberg;0,98;1,03
Görlitz, LK;146260;Sachsen;1,87;1,94
Goslar, LK;031530;Niedersachsen;0,90;0,95
Gotha, LK;160670;Thüringen;1,27;1,39
Göttingen, LK;031590;Niedersachsen;0,88;0,93
Grafschaft Bentheim;034560;Niedersachsen;3,19;3,29
Greiz, LK;160760;Thüringen;2,07;2,18
Groß-Gerau, LK;064330;Hessen;0,32;0,35
Günzburg, LK;097740;Bayern;2,36;2,46
Gütersloh, LK;057540;Nordrhein-Westfalen;0,99;1,04
Hameln-Pyrmont, LK;032520;Niedersachsen;1,83;1,87
Harburg, LK;033530;Niedersachsen;1,39;1,42
Harz, LK;150850;Sachsen-Anhalt;2,52;2,65
Haßberge, LK;096740;Bayern;3,21;3,97
Havelland, LK;120630;Brandenburg;3,14;3,37
Heidekreis, LK;033580;Niedersachsen;3,03;3,27
Heidenheim, LK;081350;Baden-Württemberg;1,93;2,36
Heilbronn, LK;081250;Baden-Württemberg;0,99;1,05
Heinsberg, LK;053700;Nordrhein-Westfalen;1,75;1,81
Helmstedt, LK;031540;Niedersachsen;2,04;2,08
Herford, LK;057580;Nordrhein-Westfalen;0,51;0,56
Hersfeld-Rotenburg, LK;066320;Hessen;2,73;3,17
Herzogtum Lauenburg;010530;Schleswig-Holstein;1,03;1,06
Hildburghausen, LK;160690;Thüringen;1,82;1,91
Hildesheim, LK;032540;Niedersachsen;0,98;1,02
Hochsauerlandkreis, LK;059580;Nordrhein-Westfalen;1,40;1,52
Hochtaunuskreis, LK;064340;Hessen;0,44;0,46
Hof, LK;094750;Bayern;4,73;4,94
Hohenlohekreis, LK;081260;Baden-Württemberg;2,09;2,23
Holzminden, LK;032550;Niedersachsen;1,49;1,57
Höxter, LK;057620;Nordrhein-Westfalen;7,60;7,70
Ilm-Kreis, LK;160700;Thüringen;0,55;0,59
Jerichower Land, LK;150860;Sachsen-Anhalt;5,56;5,79
Kaiserslautern, LK;073350;Rheinland-Pfalz;1,54;1,61
Karlsruhe, LK;082150;Baden-Württemberg;0,57;0,63
Kassel, LK;066330;Hessen;1,91;1,98
Kelheim, LK;092730;Bayern;3,07;3,30
Kitzingen, LK;096750;Bayern;3,01;3,16
Kleve, LK;051540;Nordrhein-Westfalen;2,33;2,45
Konstanz, LK;083350;Baden-Württemberg;0,70;0,79
Kronach, LK;094760;Bayern;1,15;1,54
Kulmbach, LK;094770;Bayern;2,78;3,14
Kusel, LK;073360;Rheinland-Pfalz;2,82;3,14
Kyffhäuserkreis, LK;160650;Thüringen;4,29;2,80
Lahn-Dill-Kreis, LK;065320;Hessen;1,06;1,11
Landsberg am Lech, LK;091810;Bayern;2,86;2,96
Landshut, LK;092740;Bayern;3,07;3,24
Leer, LK;034570;Niedersachsen;1,82;1,86
Leipzig, LK;147290;Sachsen;1,63;1,69
Lichtenfels, LK;094780;Bayern;2,18;2,57
Limburg-Weilburg, LK;065330;Hessen;1,16;1,22
Lindau (Bodensee), LK;097760;Bayern;0,71;0,75
Lippe, LK;057660;Nordrhein-Westfalen;1,15;1,19
Lörrach, LK;083360;Baden-Württemberg;1,95;1,99
Lüchow-Dannenberg, LK;033540;Niedersachsen;3,46;3,50
Ludwigsburg, LK;081180;Baden-Württemberg;0,38;0,42
Ludwigslust-Parchim, LK;130760;Mecklenburg-Vorpommern;5,95;7,37
Lüneburg, LK;033550;Niedersachsen;1,91;1,93
Main-Kinzig-Kreis, LK;064350;Hessen;1,11;1,15
Main-Spessart, LK;096770;Bayern;2,51;2,64
Main-Tauber-Kreis, LK;081280;Baden-Württemberg;4,17;4,28
Main-Taunus-Kreis, LK;064360;Hessen;0,29;0,31
Mainz-Bingen, LK;073390;Rheinland-Pfalz;1,07;1,11
Mansfeld-Südharz, LK;150870;Sachsen-Anhalt;6,03;6,88
Marburg-Biedenkopf, LK;065340;Hessen;1,50;1,56
Märkischer Kreis, LK;059620;Nordrhein-Westfalen;0,28;0,31
Märkisch-Oderland, LK;120640;Brandenburg;5,44;7,20
Mayen-Koblenz, LK;071370;Rheinland-Pfalz;0,84;0,97
Mecklenburgische Seenplatte, LK;130710;Mecklenburg-Vorpommern;5,09;5,43
Meißen, LK;146270;Sachsen;1,95;2,02
Merzig-Wadern, LK;100420;Saarland;2,57;2,66
Mettmann, LK;051580;Nordrhein-Westfalen;0,14;0,16
Miesbach, LK;091820;Bayern;1,16;1,21
Miltenberg, LK;096760;Bayern;0,95;0,99
Minden-Lübbecke, LK;057700;Nordrhein-Westfalen;0,92;1,00
Mittelsachsen, LK;145220;Sachsen;2,06;2,16
Mühldorf am Inn, LK;091830;Bayern;2,18;2,30
München, LK;091840;Bayern;0,39;0,43
Neckar-Odenwald-Kreis, LK;082250;Baden-Württemberg;2,20;2,35
Neuburg-Schrobenhausen, LK;091850;Bayern;3,09;3,62
