Name;ID;Bundesland;2020;2021
Amberg;093610;Bayern;0,60;0,65
Ansbach;095610;Bayern;1,15;1,34
Aschaffenburg;096610;Bayern;0,28;0,30
Augsburg;097610;Bayern;0,27;0,29
Baden-Baden;082110;Baden-Württemberg;0,43;0,48
Bamberg;094610;Bayern;0,33;0,35
Bayreuth;094620;Bayern;0,27;0,31
Berlin;110000;Berlin;0,05;0,06
Bielefeld;057110;Nordrhein-Westfalen;0,34;0,36
Bochum;059110;Nordrhein-Westfalen;0,14;0,15
Bonn;053140;Nordrhein-Westfalen;0,06;0,07
Bottrop;055120;Nordrhein-Westfalen;0,50;0,52
Brandenburg an der Havel;120510;Brandenburg;1,32;1,34
Braunschweig;031010;Niedersachsen;0,16;0,19
Bremen;040110;Bremen, BL;0,33;0,34
Bremerhaven;040120;Bremen, BL;0,75;0,77
Chemnitz;145110;Sachsen;0,41;0,46
Coburg;094630;Bayern;0,72;0,75
Cottbus;120520;Brandenburg;1,53;1,72
Darmstadt;064110;Hessen;0,09;0,11
Delmenhorst;034010;Niedersachsen;0,20;0,38
Dessau-Roßlau;150010;Sachsen-Anhalt;0,95;1,04
Dortmund;059130;Nordrhein-Westfalen;0,13;0,14
Dresden;146120;Sachsen;0,10;0,10
Duisburg;051120;Nordrhein-Westfalen;0,08;0,10
Düsseldorf;051110;Nordrhein-Westfalen;0,22;0,23
Emden;034020;Niedersachsen;4,67;4,72
Erfurt;160510;Thüringen;0,45;0,50
Erlangen;095620;Bayern;0,23;0,26
Essen;051130;Nordrhein-Westfalen;0,10;0,11
Flensburg;010010;Schleswig-Holstein;0,99;1,00
Frankenthal (Pfalz);073110;Rheinland-Pfalz;0,32;0,33
Frankfurt am Main;064120;Hessen;0,09;0,10
Frankfurt (Oder);120530;Brandenburg;0,91;1,00
Freiburg im Breisgau;083110;Baden-Württemberg;0,33;0,35
Fürth;095630;Bayern;0,28;0,29
Gelsenkirchen;055130;Nordrhein-Westfalen;0,10;0,11
Gera;160520;Thüringen;0,43;0,46
Hagen;059140;Nordrhein-Westfalen;0,46;0,47
Halle (Saale);150020;Sachsen-Anhalt;0,52;0,54
Hamburg;020000;Hamburg;0,12;0,12
Hamm;059150;Nordrhein-Westfalen;0,51;0,57
Heidelberg;082210;Baden-Württemberg;0,22;0,24
Heilbronn;081210;Baden-Württemberg;0,35;0,37
Herne;059160;Nordrhein-Westfalen;0,06;0,08
Hof;094640;Bayern;0,36;0,56
Ingolstadt;091610;Bayern;0,51;0,54
Jena;160530;Thüringen;0,13;0,15
Kaiserslautern;073120;Rheinland-Pfalz;0,64;0,68
Karlsruhe;082120;Baden-Württemberg;0,14;0,16
Kassel;066110;Hessen;0,27;0,28
Kaufbeuren;097620;Bayern;0,57;0,60
Kempten (Allgäu);097630;Bayern;0,66;0,70
Kiel;010020;Schleswig-Holstein;0,05;0,06
Koblenz;071110;Rheinland-Pfalz;0,30;0,33
Köln;053150;Nordrhein-Westfalen;0,08;0,09
Krefeld;051140;Nordrhein-Westfalen;0,23;0,25
Landau in der Pfalz;073130;Rheinland-Pfalz;0,61;0,64
Landshut;092610;Bayern;1,15;1,21
Leipzig;147130;Sachsen;0,20;0,21
Leverkusen;053160;Nordrhein-Westfalen;0,08;0,10
Lübeck;010030;Schleswig-Holstein;0,19;0,20
Ludwigshafen am Rhein;073140;Rheinland-Pfalz;0,13;0,14
Magdeburg;150030;Sachsen-Anhalt;0,32;0,34
Mainz;073150;Rheinland-Pfalz;0,22;0,24
Mannheim;082220;Baden-Württemberg;0,34;0,35
Memmingen;097640;Bayern;0,75;0,78
Mönchengladbach;051160;Nordrhein-Westfalen;0,36;0,38
Mülheim an der Ruhr;051170;Nordrhein-Westfalen;0,19;0,20
München;091620;Bayern;0,07;0,08
Münster;055150;Nordrhein-Westfalen;0,54;0,60
Neumünster;010040;Schleswig-Holstein;0,19;0,21
Neustadt an der Weinstraße;073160;Rheinland-Pfalz;0,46;0,51
Nürnberg;095640;Bayern;0,13;0,14
Oberhausen;051190;Nordrhein-Westfalen;0,08;0,09
Offenbach am Main;064130;Hessen;0,09;0,10
Oldenburg (Oldenburg);034030;Niedersachsen;0,33;0,35
Osnabrück;034040;Niedersachsen;0,24;0,27
Passau;092620;Bayern;3,39;3,39
Pforzheim;082310;Baden-Württemberg;0,33;0,35
Pirmasens;073170;Rheinland-Pfalz;0,52;0,55
Potsdam;120540;Brandenburg;0,56;0,57
Regensburg;093620;Bayern;0,36;0,38
Remscheid;051200;Nordrhein-Westfalen;0,10;0,11
Rosenheim;091630;Bayern;0,39;0,42
Rostock;130030;Mecklenburg-Vorpommern;0,22;0,27
Salzgitter;031020;Niedersachsen;1,57;1,59
Schwabach;095650;Bayern;0,34;0,38
Schweinfurt;096620;Bayern;0,45;0,48
Schwerin;130040;Mecklenburg-Vorpommern;0,78;0,80
Solingen;051220;Nordrhein-Westfalen;0,15;0,17
Speyer;073180;Rheinland-Pfalz;0,26;0,31
Straubing;092630;Bayern;1,70;1,74
Stuttgart;081110;Baden-Württemberg;0,10;0,11
Suhl;160540;Thüringen;0,23;0,26
Trier;072110;Rheinland-Pfalz;0,53;0,56
Ulm;084210;Baden-Württemberg;0,98;1,02
Weiden in der Oberpfalz;093630;Bayern;0,65;0,83
Weimar;160550;Thüringen;0,22;0,25
Wiesbaden;064140;Hessen;0,13;0,14
Wilhelmshaven;034050;Niedersachsen;1,45;1,71
Wolfsburg;031030;Niedersachsen;0,21;0,24
Worms;073190;Rheinland-Pfalz;0,64;0,65
Wuppertal;051240;Nordrhein-Westfalen;0,11;0,12
Würzburg;096630;Bayern;0,23;0,25
Zweibrücken;073200;Rheinland-Pfalz;0,52;0,55
