PKW mit Elektroantrieb
Landkreise

Kommune;GKZ;ARS;Bundesland;"2020
PKW mit Elektroantrieb (%)";"2021
PKW mit Elektroantrieb (%)";"2022
PKW mit Elektroantrieb (%)"
Ahrweiler, LK;07131000;071310000000;Rheinland-Pfalz;0,36;0,88;1,90
Aichach-Friedberg, LK;09771000;097710000000;Bayern;0,46;1,02;2,25
Alb-Donau-Kreis, LK;08425000;084250000000;Baden-Württemberg;0,39;1,02;2,15
Altenburger Land, LK;16077000;160770000000;Thüringen;0,18;0,44;1,08
Altenkirchen (Westerwald), LK;07132000;071320000000;Rheinland-Pfalz;0,29;0,79;2,04
Altmarkkreis Salzwedel, LK;15081000;150810000000;Sachsen-Anhalt;0,20;0,56;1,20
Altötting, LK;09171000;091710000000;Bayern;0,49;0,99;2,07
Alzey-Worms, LK;07331000;073310000000;Rheinland-Pfalz;0,42;1,00;2,07
Amberg-Sulzbach, LK;09371000;093710000000;Bayern;0,41;0,95;2,20
Ammerland, LK;03451000;034510000000;Niedersachsen;0,31;0,88;1,93
Anhalt-Bitterfeld, LK;15082000;150820000000;Sachsen-Anhalt;0,16;0,43;0,96
Ansbach, LK;09571000;095710000000;Bayern;0,39;0,91;1,90
Aschaffenburg, LK;09671000;096710000000;Bayern;0,51;1,24;2,60
Augsburg, LK;09772000;097720000000;Bayern;0,48;1,13;2,34
Aurich, LK;03452000;034520000000;Niedersachsen;0,33;0,78;1,97
Bad Dürkheim, LK;07332000;073320000000;Rheinland-Pfalz;0,45;1,07;2,28
Bad Kissingen, LK;09672000;096720000000;Bayern;0,48;0,86;1,81
Bad Kreuznach, LK;07133000;071330000000;Rheinland-Pfalz;0,37;0,89;1,89
Bad Tölz-Wolfratshausen, LK;09173000;091730000000;Bayern;0,62;1,26;2,23
Bamberg, LK;09471000;094710000000;Bayern;0,37;0,93;1,91
Barnim, LK;12060000;120600000000;Brandenburg;0,34;0,86;1,68
Bautzen, LK;14625000;146250000000;Sachsen;0,21;0,56;1,07
Bayreuth, LK;09472000;094720000000;Bayern;0,31;0,78;1,79
Berchtesgadener Land, LK;09172000;091720000000;Bayern;0,46;1,05;1,96
Bergstraße, LK;06431000;064310000000;Hessen;0,52;1,19;2,47
Bernkastel-Wittlich, LK;07231000;072310000000;Rheinland-Pfalz;0,28;0,88;1,99
Biberach, LK;08426000;084260000000;Baden-Württemberg;0,41;1,00;2,24
Birkenfeld, LK;07134000;071340000000;Rheinland-Pfalz;0,27;0,61;1,41
Böblingen, LK;08115000;081150000000;Baden-Württemberg;1,35;3,45;5,70
Bodenseekreis, LK;08435000;084350000000;Baden-Württemberg;0,64;1,54;3,05
Börde, LK;15083000;150830000000;Sachsen-Anhalt;0,22;0,55;1,16
Borken, LK;05554000;055540000000;Nordrhein-Westfalen;0,37;1,12;2,65
Breisgau-Hochschwarzwald, LK;08315000;083150000000;Baden-Württemberg;0,61;1,28;2,51
Burgenlandkreis, LK;15084000;150840000000;Sachsen-Anhalt;0,22;0,54;1,06
Calw, LK;08235000;082350000000;Baden-Württemberg;0,57;1,43;2,81
Celle, LK;03351000;033510000000;Niedersachsen;0,34;0,83;1,93
Cham, LK;09372000;093720000000;Bayern;0,30;0,69;1,57
Cloppenburg, LK;03453000;034530000000;Niedersachsen;0,24;0,71;1,88
Coburg, LK;09473000;094730000000;Bayern;0,41;0,92;1,95
Cochem-Zell, LK;07135000;071350000000;Rheinland-Pfalz;0,24;0,79;1,89
Coesfeld, LK;05558000;055580000000;Nordrhein-Westfalen;0,38;1,01;2,35
Cuxhaven, LK;03352000;033520000000;Niedersachsen;0,27;0,64;1,46
Dachau, LK;09174000;091740000000;Bayern;0,55;1,21;2,44
Dahme-Spreewald, LK;12061000;120610000000;Brandenburg;0,38;0,90;1,67
Darmstadt-Dieburg, LK;06432000;064320000000;Hessen;0,56;1,31;2,55
Deggendorf, LK;09271000;092710000000;Bayern;0,39;0,91;1,94
Diepholz, LK;03251000;032510000000;Niedersachsen;0,34;0,88;2,04
Dillingen an der Donau, LK;09773000;097730000000;Bayern;0,35;0,87;1,77
Dingolfing-Landau, LK;09279000;092790000000;Bayern;0,70;1,10;2,20
Dithmarschen, LK;01051000;010510000000;Schleswig-Holstein;0,40;0,85;1,70
Donau-Ries, LK;09779000;097790000000;Bayern;0,45;1,05;2,08
Donnersbergkreis, LK;07333000;073330000000;Rheinland-Pfalz;0,31;0,74;1,73
Düren, LK;05358000;053580000000;Nordrhein-Westfalen;0,39;1,10;2,41
Ebersberg, LK;09175000;091750000000;Bayern;0,79;1,71;3,14
Eichsfeld, LK;16061000;160610000000;Thüringen;0,23;0,69;1,59
Eichstätt, LK;09176000;091760000000;Bayern;0,40;0,86;1,95
Eifelkreis Bitburg-Prüm, LK;07232000;072320000000;Rheinland-Pfalz;0,27;0,83;1,81
Elbe-Elster, LK;12062000;120620000000;Brandenburg;0,21;0,48;0,83
Emmendingen, LK;08316000;083160000000;Baden-Württemberg;0,50;1,63;2,68
Emsland, LK;03454000;034540000000;Niedersachsen;0,27;0,82;2,19
Ennepe-Ruhr-Kreis, LK;05954000;059540000000;Nordrhein-Westfalen;0,47;1,11;2,35
Enzkreis, LK;08236000;082360000000;Baden-Württemberg;0,54;1,27;2,67
Erding, LK;09177000;091770000000;Bayern;0,54;1,11;2,38
Erlangen-Höchstadt, LK;09572000;095720000000;Bayern;0,82;1,84;3,47
Erzgebirgskreis, LK;14521000;145210000000;Sachsen;0,18;0,47;1,06
Esslingen, LK;08116000;081160000000;Baden-Württemberg;0,67;1,62;3,30
Euskirchen, LK;05366000;053660000000;Nordrhein-Westfalen;0,38;1,06;2,34
Forchheim, LK;09474000;094740000000;Bayern;0,57;1,12;2,14
Freising, LK;09178000;091780000000;Bayern;0,78;1,52;2,65
Freudenstadt, LK;08237000;082370000000;Baden-Württemberg;0,43;1,06;2,33
Freyung-Grafenau, LK;09272000;092720000000;Bayern;0,27;0,67;1,65
Friesland, LK;03455000;034550000000;Niedersachsen;0,27;0,89;1,93
Fulda, LK;06631000;066310000000;Hessen;0,33;0,92;2,05
Fürstenfeldbruck, LK;09179000;091790000000;Bayern;0,61;1,30;2,50
Fürth, LK;09573000;095730000000;Bayern;0,51;1,06;2,20
Garmisch-Partenkirchen, LK;09180000;091800000000;Bayern;0,44;1,04;2,18
Germersheim, LK;07334000;073340000000;Rheinland-Pfalz;0,31;1,10;2,18
Gießen, LK;06531000;065310000000;Hessen;0,49;1,16;2,36
Gifhorn, LK;03151000;031510000000;Niedersachsen;0,31;0,90;2,33
Göppingen, LK;08117000;081170000000;Baden-Württemberg;0,47;1,16;2,57
Görlitz, LK;14626000;146260000000;Sachsen;0,18;0,41;0,85
Goslar, LK;03153000;031530000000;Niedersachsen;0,27;0,74;1,69
Gotha, LK;16067000;160670000000;Thüringen;0,37;0,60;1,27
Göttingen, LK;03159000;031590000000;Niedersachsen;0,36;0,97;2,07
Grafschaft Bentheim;03456000;034560000000;Niedersachsen;0,59;1,37;2,57
Greiz, LK;16076000;160760000000;Thüringen;0,16;0,45;1,02
Groß-Gerau, LK;06433000;064330000000;Hessen;0,63;1,32;2,31
Günzburg, LK;09774000;097740000000;Bayern;0,35;0,90;2,04
Gütersloh, LK;05754000;057540000000;Nordrhein-Westfalen;0,45;1,22;2,66
Hameln-Pyrmont, LK;03252000;032520000000;Niedersachsen;0,37;0,93;1,88
Harburg, LK;03353000;033530000000;Niedersachsen;0,44;1,15;2,41
Harz, LK;15085000;150850000000;Sachsen-Anhalt;0,19;0,60;1,37
