PKW mit Elektroantrieb
Kreisfreie Städte

Kommune;GKZ;ARS;Bundesland;Demografietyp;"2020
PKW mit Elektroantrieb (%)";"2021
PKW mit Elektroantrieb (%)";"2022
PKW mit Elektroantrieb (%)"
Amberg;09361000;093610000000;Bayern;Typ 2;0,68;1,47;2,84
Ansbach;09561000;095610000000;Bayern;Typ 6;0,65;1,23;2,46
Aschaffenburg;09661000;096610000000;Bayern;Typ 6;0,49;1,71;3,66
Augsburg;09761000;097610000000;Bayern;Typ 7;0,50;1,26;2,51
Baden-Baden;08211000;082110000000;Baden-Württemberg;Typ 10;0,73;1,75;3,40
Bamberg;09461000;094610000000;Bayern;Typ 7;0,74;1,42;2,64
Bayreuth;09462000;094620000000;Bayern;Typ 7;0,56;1,56;3,00
Berlin;11000000;110000000000;Berlin;Typ 7;0,69;1,47;2,75
Bielefeld;05711000;057110000000;Nordrhein-Westfalen;Typ 7;0,82;1,76;3,22
Bochum;05911000;059110000000;Nordrhein-Westfalen;Typ 7;0,51;1,22;2,65
Bonn;05314000;053140000000;Nordrhein-Westfalen;Typ 7;0,62;1,56;3,02
Bottrop;05512000;055120000000;Nordrhein-Westfalen;Typ 6;0,31;0,85;1,85
Brandenburg an der Havel;12051000;120510000000;Brandenburg;Typ 2;0,30;0,89;1,95
Braunschweig;03101000;031010000000;Niedersachsen;Typ 7;1,10;2,90;4,89
Bremen;04011000;040110000000;Bremen, BL;Typ 7;0,48;1,26;2,40
Bremerhaven;04012000;040120000000;Bremen, BL;Typ 6;0,34;0,82;1,76
Chemnitz;14511000;145110000000;Sachsen;Typ 7;0,32;0,88;1,90
Coburg;09463000;094630000000;Bayern;Typ 2;0,50;1,20;2,54
Cottbus;12052000;120520000000;Brandenburg;Typ 2;0,22;0,70;1,45
Darmstadt;06411000;064110000000;Hessen;Typ 7;0,94;1,97;3,61
Delmenhorst;03401000;034010000000;Niedersachsen;Typ 6;0,29;0,83;1,83
Dessau-Roßlau;15001000;150010000000;Sachsen-Anhalt;Typ 1;0,27;0,68;1,45
Dortmund;05913000;059130000000;Nordrhein-Westfalen;Typ 7;0,51;1,25;2,63
Dresden;14612000;146120000000;Sachsen;Typ 7;0,46;1,06;1,97
Duisburg;05112000;051120000000;Nordrhein-Westfalen;Typ 6;0,25;0,73;1,66
Düsseldorf;05111000;051110000000;Nordrhein-Westfalen;Typ 7;0,82;2,20;4,21
Emden;03402000;034020000000;Niedersachsen;Typ 6;0,30;0,91;2,66
Erfurt;16051000;160510000000;Thüringen;Typ 7;0,50;1,14;2,19
Erlangen;09562000;095620000000;Bayern;Typ 11;0,72;1,57;2,92
Essen;05113000;051130000000;Nordrhein-Westfalen;Typ 7;0,61;1,46;2,86
Flensburg;01001000;010010000000;Schleswig-Holstein;Typ 7;0,59;1,30;2,79
Frankenthal (Pfalz);07311000;073110000000;Rheinland-Pfalz;Typ 6;0,45;0,99;2,01
Frankfurt am Main;06412000;064120000000;Hessen;Typ 7;0,85;2,18;5,17
Frankfurt (Oder);12053000;120530000000;Brandenburg;Typ 2;0,27;0,66;1,24
Freiburg im Breisgau;08311000;083110000000;Baden-Württemberg;Typ 7;0,80;1,70;3,02
Fürth;09563000;095630000000;Bayern;Typ 7;0,57;1,22;2,39
Gelsenkirchen;05513000;055130000000;Nordrhein-Westfalen;Typ 6;0,35;0,81;1,79
Gera;16052000;160520000000;Thüringen;Typ 2;0,21;0,66;1,52
Hagen;05914000;059140000000;Nordrhein-Westfalen;Typ 6;0,41;1,00;2,09
Halle (Saale);15002000;150020000000;Sachsen-Anhalt;Typ 7;0,25;0,73;1,49
Hamburg;02000000;020000000000;Hamburg;Typ 7;0,73;1,78;3,39
Hamm;05915000;059150000000;Nordrhein-Westfalen;Typ 6;0,32;0,96;2,09
Heidelberg;08221000;082210000000;Baden-Württemberg;Typ 11;0,72;1,55;2,95
Heilbronn;08121000;081210000000;Baden-Württemberg;Typ 6;0,60;1,36;2,75
Herne;05916000;059160000000;Nordrhein-Westfalen;Typ 7;0,28;0,70;1,56
Hof;09464000;094640000000;Bayern;Typ 6;0,43;1,37;2,43
Ingolstadt;09161000;091610000000;Bayern;Typ 5;1,58;5,10;7,04
Jena;16053000;160530000000;Thüringen;Typ 7;0,43;1,11;2,04
Kaiserslautern;07312000;073120000000;Rheinland-Pfalz;Typ 6;0,47;1,29;2,73
Karlsruhe;08212000;082120000000;Baden-Württemberg;Typ 7;0,82;1,85;3,67
Kassel;06611000;066110000000;Hessen;Typ 7;0,57;1,44;3,07
Kaufbeuren;09762000;097620000000;Bayern;Typ 6;0,43;1,04;2,18
Kempten (Allgäu);09763000;097630000000;Bayern;Typ 6;0,57;1,45;2,78
Kiel;01002000;010020000000;Schleswig-Holstein;Typ 7;0,56;1,28;2,47
Koblenz;07111000;071110000000;Rheinland-Pfalz;Typ 7;0,48;1,36;2,90
Köln;05315000;053150000000;Nordrhein-Westfalen;Typ 7;0,65;1,75;3,43
Krefeld;05114000;051140000000;Nordrhein-Westfalen;Typ 7;0,41;1,19;2,32
Landau in der Pfalz;07313000;073130000000;Rheinland-Pfalz;Typ 6;0,54;1,51;3,01
Landshut;09261000;092610000000;Bayern;Typ 6;0,65;1,31;2,58
Leipzig;14713000;147130000000;Sachsen;Typ 7;0,49;1,07;2,28
Leverkusen;05316000;053160000000;Nordrhein-Westfalen;Typ 7;0,46;1,55;2,90
Lübeck;01003000;010030000000;Schleswig-Holstein;Typ 6;0,50;1,20;2,29
Ludwigshafen am Rhein;07314000;073140000000;Rheinland-Pfalz;Typ 7;0,77;1,36;2,36
Magdeburg;15003000;150030000000;Sachsen-Anhalt;Typ 7;0,41;0,93;1,73
Mainz;07315000;073150000000;Rheinland-Pfalz;Typ 7;0,71;1,44;2,81
Mannheim;08222000;082220000000;Baden-Württemberg;Typ 7;0,55;1,55;2,94
Memmingen;09764000;097640000000;Bayern;Typ 4;0,49;1,13;2,43
Mönchengladbach;05116000;051160000000;Nordrhein-Westfalen;Typ 6;0,43;1,10;2,33
Mülheim an der Ruhr;05117000;051170000000;Nordrhein-Westfalen;Typ 7;0,51;1,27;2,70
München;09162000;091620000000;Bayern;Typ 7;1,52;2,59;4,72
Münster;05515000;055150000000;Nordrhein-Westfalen;Typ 7;0,78;1,85;3,42
Neumünster;01004000;010040000000;Schleswig-Holstein;Typ 6;0,31;1,44;2,64
Neustadt an der Weinstraße;07316000;073160000000;Rheinland-Pfalz;Typ 5;0,50;1,07;2,24
Nürnberg;09564000;095640000000;Bayern;Typ 7;0,58;1,31;2,46
Oberhausen;05119000;051190000000;Nordrhein-Westfalen;Typ 7;0,25;0,78;1,88
Offenbach am Main;06413000;064130000000;Hessen;Typ 7;0,53;1,58;3,00
Oldenburg (Oldenburg);03403000;034030000000;Niedersachsen;Typ 7;0,49;1,42;2,99
Osnabrück;03404000;034040000000;Niedersachsen;Typ 7;0,66;1,50;3,07
Passau;09262000;092620000000;Bayern;Typ 7;0,57;1,42;2,96
Pforzheim;08231000;082310000000;Baden-Württemberg;Typ 6;0,56;1,37;2,79
Pirmasens;07317000;073170000000;Rheinland-Pfalz;Typ 2;0,35;0,98;2,10
Potsdam;12054000;120540000000;Brandenburg;Typ 7;0,60;1,32;2,51
Regensburg;09362000;093620000000;Bayern;Typ 7;0,83;1,69;3,31
Remscheid;05120000;051200000000;Nordrhein-Westfalen;Typ 6;0,42;1,13;2,44
Rosenheim;09163000;091630000000;Bayern;Typ 7;0,55;1,20;2,35
Rostock;13003000;130030000000;Mecklenburg-Vorpommern;Typ 7;0,29;0,75;1,69
Salzgitter;03102000;031020000000;Niedersachsen;Typ 6;0,26;0,62;1,50
Schwabach;09565000;095650000000;Bayern;Typ 5;0,67;1,42;2,85
Schweinfurt;09662000;096620000000;Bayern;Typ 6;0,75;1,93;3,66
Schwerin;13004000;130040000000;Mecklenburg-Vorpommern;Typ 6;0,30;0,79;1,52
Solingen;05122000;051220000000;Nordrhein-Westfalen;Typ 6;0,48;1,45;3,11
Speyer;07318000;073180000000;Rheinland-Pfalz;Typ 5;0,45;1,12;2,08
Straubing;09263000;092630000000;Bayern;Typ 6;0,43;1,26;2,86
Stuttgart;08111000;081110000000;Baden-Württemberg;Typ 7;1,73;4,16;6,73
Suhl;16054000;160540000000;Thüringen;;0,18;0,72;1,52
Trier;07211000;072110000000;Rheinland-Pfalz;Typ 7;0,53;1,38;3,30
Ulm;08421000;084210000000;Baden-Württemberg;Typ 7;0,75;1,70;3,19
Weiden in der Oberpfalz;09363000;093630000000;Bayern;Typ 2;0,34;1,10;2,52
Weimar;16055000;160550000000;Thüringen;Typ 7;5,22;5,86;3,70
Wiesbaden;06414000;064140000000;Hessen;Typ 7;0,70;2,52;7,26
Wilhelmshaven;03405000;034050000000;Niedersachsen;Typ 2;0,20;0,51;1,33
Wolfsburg;03103000;031030000000;Niedersachsen;Typ 5;1,91;10,91;9,46
Worms;07319000;073190000000;Rheinland-Pfalz;Typ 6;0,64;1,05;2,04
Wuppertal;05124000;051240000000;Nordrhein-Westfalen;Typ 7;0,59;1,26;2,56
Würzburg;09663000;096630000000;Bayern;Typ 7;0,72;1,75;3,22
Zweibrücken;07320000;073200000000;Rheinland-Pfalz;Typ 2;0,32;0,97;2,25

"k.A. = keine Angaben bei fehlender Verfügbarkeit, aufgrund von
Gebietsstandsänderungen bzw. aus methodischen und inhaltlichen Gründen;
weitere Detailinformationen finden Sie auf der Seite Methodik."
Quelle: Statistische Ämter der Länder,  ZEFIR,  eigene Berechnungen
"Datenlizenz Deutschland - Namensnennung - Version 2.0
https://www.govdata.de/dl-de/by-2-0"

Quellenangabe bei Verwendung der Daten:
"Bertelsmann Stiftung
www.wegweiser-kommune.de
https://www.wegweiser-kommune.de"

Die Indikatorenerläuterungen finden Sie hier:
https://www.wegweiser-kommune.de/data-api/rest/indicator/export/pkw-mit-elektroantrieb.pdf
