Ladesäuleninfrastruktur
Kreisfreie Städte

Kommune;GKZ;ARS;Bundesland;Demografietyp;"2020
Ladesäuleninfrastruktur (Ladepunkte je Einwohner:in)";"2021
Ladesäuleninfrastruktur (Ladepunkte je Einwohner:in)"
Amberg;09361000;093610000000;Bayern;Typ 2;0,36;0,40
Ansbach;09561000;095610000000;Bayern;Typ 6;0,62;0,82
Aschaffenburg;09661000;096610000000;Bayern;Typ 6;0,38;0,41
Augsburg;09761000;097610000000;Bayern;Typ 7;0,49;0,60
Baden-Baden;08211000;082110000000;Baden-Württemberg;Typ 10;0,81;0,99
Bamberg;09461000;094610000000;Bayern;Typ 7;0,55;0,57
Bayreuth;09462000;094620000000;Bayern;Typ 7;0,53;0,55
Berlin;11000000;110000000000;Berlin;Typ 7;0,37;0,40
Bielefeld;05711000;057110000000;Nordrhein-Westfalen;Typ 7;0,52;0,62
Bochum;05911000;059110000000;Nordrhein-Westfalen;Typ 7;0,19;0,27
Bonn;05314000;053140000000;Nordrhein-Westfalen;Typ 7;0,42;0,68
Bottrop;05512000;055120000000;Nordrhein-Westfalen;Typ 6;0,43;0,45
Brandenburg an der Havel;12051000;120510000000;Brandenburg;Typ 2;0,54;0,62
Braunschweig;03101000;031010000000;Niedersachsen;Typ 7;0,47;0,52
Bremen;04011000;040110000000;Bremen, BL;Typ 7;0,39;0,46
Bremerhaven;04012000;040120000000;Bremen, BL;Typ 6;0,53;0,57
Chemnitz;14511000;145110000000;Sachsen;Typ 7;0,66;0,89
Coburg;09463000;094630000000;Bayern;Typ 2;0,83;0,95
Cottbus;12052000;120520000000;Brandenburg;Typ 2;0,18;0,25
Darmstadt;06411000;064110000000;Hessen;Typ 7;0,63;0,86
Delmenhorst;03401000;034010000000;Niedersachsen;Typ 6;0,35;0,55
Dessau-Roßlau;15001000;150010000000;Sachsen-Anhalt;Typ 1;0,20;0,48
Dortmund;05913000;059130000000;Nordrhein-Westfalen;Typ 7;0,32;0,62
Dresden;14612000;146120000000;Sachsen;Typ 7;0,37;0,59
Duisburg;05112000;051120000000;Nordrhein-Westfalen;Typ 6;0,22;0,28
Düsseldorf;05111000;051110000000;Nordrhein-Westfalen;Typ 7;0,42;0,63
Emden;03402000;034020000000;Niedersachsen;Typ 6;1,16;2,42
Erfurt;16051000;160510000000;Thüringen;Typ 7;0,40;0,45
Erlangen;09562000;095620000000;Bayern;Typ 11;0,39;0,53
Essen;05113000;051130000000;Nordrhein-Westfalen;Typ 7;0,72;0,83
Flensburg;01001000;010010000000;Schleswig-Holstein;Typ 7;0,54;1,11
Frankenthal (Pfalz);07311000;073110000000;Rheinland-Pfalz;Typ 6;0,41;0,45
Frankfurt am Main;06412000;064120000000;Hessen;Typ 7;0,32;0,36
Frankfurt (Oder);12053000;120530000000;Brandenburg;Typ 2;0,37;0,56
Freiburg im Breisgau;08311000;083110000000;Baden-Württemberg;Typ 7;0,26;0,65
Fürth;09563000;095630000000;Bayern;Typ 7;0,65;1,28
Gelsenkirchen;05513000;055130000000;Nordrhein-Westfalen;Typ 6;0,29;0,40
Gera;16052000;160520000000;Thüringen;Typ 2;0,59;0,68
Hagen;05914000;059140000000;Nordrhein-Westfalen;Typ 6;0,34;0,43
Halle (Saale);15002000;150020000000;Sachsen-Anhalt;Typ 7;0,26;0,34
Hamburg;02000000;020000000000;Hamburg;Typ 7;0,69;0,81
Hamm;05915000;059150000000;Nordrhein-Westfalen;Typ 6;0,30;0,43
Heidelberg;08221000;082210000000;Baden-Württemberg;Typ 11;0,69;1,04
Heilbronn;08121000;081210000000;Baden-Württemberg;Typ 6;1,24;1,91
Herne;05916000;059160000000;Nordrhein-Westfalen;Typ 7;0,40;0,49
Hof;09464000;094640000000;Bayern;Typ 6;0,35;0,40
Ingolstadt;09161000;091610000000;Bayern;Typ 5;2,37;3,46
Jena;16053000;160530000000;Thüringen;Typ 7;0,44;0,54
Kaiserslautern;07312000;073120000000;Rheinland-Pfalz;Typ 6;0,49;0,66
Karlsruhe;08212000;082120000000;Baden-Württemberg;Typ 7;0,33;0,47
Kassel;06611000;066110000000;Hessen;Typ 7;0,12;0,19
Kaufbeuren;09762000;097620000000;Bayern;Typ 6;0,34;1,02
Kempten (Allgäu);09763000;097630000000;Bayern;Typ 6;0,58;0,78
Kiel;01002000;010020000000;Schleswig-Holstein;Typ 7;0,71;0,79
Koblenz;07111000;071110000000;Rheinland-Pfalz;Typ 7;0,49;0,71
Köln;05315000;053150000000;Nordrhein-Westfalen;Typ 7;0,29;0,50
Krefeld;05114000;051140000000;Nordrhein-Westfalen;Typ 7;0,19;0,21
Landau in der Pfalz;07313000;073130000000;Rheinland-Pfalz;Typ 6;1,46;1,45
Landshut;09261000;092610000000;Bayern;Typ 6;0,53;0,53
Leipzig;14713000;147130000000;Sachsen;Typ 7;0,38;0,61
Leverkusen;05316000;053160000000;Nordrhein-Westfalen;Typ 7;0,22;0,31
Lübeck;01003000;010030000000;Schleswig-Holstein;Typ 6;0,30;0,33
Ludwigshafen am Rhein;07314000;073140000000;Rheinland-Pfalz;Typ 7;0,14;0,17
Magdeburg;15003000;150030000000;Sachsen-Anhalt;Typ 7;0,34;0,45
Mainz;07315000;073150000000;Rheinland-Pfalz;Typ 7;0,51;0,62
Mannheim;08222000;082220000000;Baden-Württemberg;Typ 7;0,45;0,47
Memmingen;09764000;097640000000;Bayern;Typ 4;0,34;0,34
Mönchengladbach;05116000;051160000000;Nordrhein-Westfalen;Typ 6;0,27;0,35
Mülheim an der Ruhr;05117000;051170000000;Nordrhein-Westfalen;Typ 7;0,23;0,26
München;09162000;091620000000;Bayern;Typ 7;0,90;0,97
Münster;05515000;055150000000;Nordrhein-Westfalen;Typ 7;0,22;0,37
Neumünster;01004000;010040000000;Schleswig-Holstein;Typ 6;0,46;0,47
Neustadt an der Weinstraße;07316000;073160000000;Rheinland-Pfalz;Typ 5;0,90;1,07
Nürnberg;09564000;095640000000;Bayern;Typ 7;0,36;0,56
Oberhausen;05119000;051190000000;Nordrhein-Westfalen;Typ 7;0,40;0,50
Offenbach am Main;06413000;064130000000;Hessen;Typ 7;0,27;0,27
Oldenburg (Oldenburg);03403000;034030000000;Niedersachsen;Typ 7;0,61;0,62
Osnabrück;03404000;034040000000;Niedersachsen;Typ 7;0,54;0,94
Passau;09262000;092620000000;Bayern;Typ 7;1,30;1,98
Pforzheim;08231000;082310000000;Baden-Württemberg;Typ 6;0,43;0,50
Pirmasens;07317000;073170000000;Rheinland-Pfalz;Typ 2;0,15;0,52
Potsdam;12054000;120540000000;Brandenburg;Typ 7;0,36;0,44
Regensburg;09362000;093620000000;Bayern;Typ 7;1,97;2,24
Remscheid;05120000;051200000000;Nordrhein-Westfalen;Typ 6;0,05;0,20
Rosenheim;09163000;091630000000;Bayern;Typ 7;0,13;0,43
Rostock;13003000;130030000000;Mecklenburg-Vorpommern;Typ 7;0,35;0,41
Salzgitter;03102000;031020000000;Niedersachsen;Typ 6;1,02;1,08
Schwabach;09565000;095650000000;Bayern;Typ 5;0,29;0,29
Schweinfurt;09662000;096620000000;Bayern;Typ 6;1,11;1,60
Schwerin;13004000;130040000000;Mecklenburg-Vorpommern;Typ 6;0,05;0,09
Solingen;05122000;051220000000;Nordrhein-Westfalen;Typ 6;0,53;0,66
Speyer;07318000;073180000000;Rheinland-Pfalz;Typ 5;0,95;1,38
Straubing;09263000;092630000000;Bayern;Typ 6;0,50;0,86
Stuttgart;08111000;081110000000;Baden-Württemberg;Typ 7;0,63;1,13
Suhl;16054000;160540000000;Thüringen;;0,58;0,64
Trier;07211000;072110000000;Rheinland-Pfalz;Typ 7;0,57;0,64
Ulm;08421000;084210000000;Baden-Württemberg;Typ 7;0,93;1,02
Weiden in der Oberpfalz;09363000;093630000000;Bayern;Typ 2;0,42;0,57
Weimar;16055000;160550000000;Thüringen;Typ 7;0,37;0,43
Wiesbaden;06414000;064140000000;Hessen;Typ 7;0,57;0,78
Wilhelmshaven;03405000;034050000000;Niedersachsen;Typ 2;0,39;0,44
Wolfsburg;03103000;031030000000;Niedersachsen;Typ 5;3,71;7,35
Worms;07319000;073190000000;Rheinland-Pfalz;Typ 6;0,35;0,39
Wuppertal;05124000;051240000000;Nordrhein-Westfalen;Typ 7;0,29;0,31
Würzburg;09663000;096630000000;Bayern;Typ 7;0,34;0,54
Zweibrücken;07320000;073200000000;Rheinland-Pfalz;Typ 2;1,29;1,70

"k.A. = keine Angaben bei fehlender Verfügbarkeit, aufgrund von
Gebietsstandsänderungen bzw. aus methodischen und inhaltlichen Gründen;
weitere Detailinformationen finden Sie auf der Seite Methodik."
"Quelle: Bundesnetzagentur,  Statistische Ämter der Länder,  ZEFIR, 
eigene Berechnungen"
"Datenlizenz Deutschland - Namensnennung - Version 2.0
https://www.govdata.de/dl-de/by-2-0"

Quellenangabe bei Verwendung der Daten:
"Bertelsmann Stiftung
www.wegweiser-kommune.de
https://www.wegweiser-kommune.de"

Die Indikatorenerläuterungen finden Sie hier:
https://www.wegweiser-kommune.de/data-api/rest/indicator/export/ladesaeuleninfrastruktur.pdf
