Strom aus erneuerbaren Quellen
Landkreise

Kommune;GKZ;ARS;Bundesland;"2020
Strom aus erneuerbaren Quellen (kW je Einwohner:in)";"2021
Strom aus erneuerbaren Quellen (kW je Einwohner:in)"
Ahrweiler, LK;07131000;071310000000;Rheinland-Pfalz;0,50;0,56
Aichach-Friedberg, LK;09771000;097710000000;Bayern;2,29;2,47
Alb-Donau-Kreis, LK;08425000;084250000000;Baden-Württemberg;1,97;2,11
Altenburger Land, LK;16077000;160770000000;Thüringen;2,84;2,94
Altenkirchen (Westerwald), LK;07132000;071320000000;Rheinland-Pfalz;0,57;0,62
Altmarkkreis Salzwedel, LK;15081000;150810000000;Sachsen-Anhalt;8,38;8,80
Altötting, LK;09171000;091710000000;Bayern;5,22;5,36
Alzey-Worms, LK;07331000;073310000000;Rheinland-Pfalz;4,06;4,13
Amberg-Sulzbach, LK;09371000;093710000000;Bayern;2,67;3,34
Ammerland, LK;03451000;034510000000;Niedersachsen;1,48;1,53
Anhalt-Bitterfeld, LK;15082000;150820000000;Sachsen-Anhalt;5,84;6,15
Ansbach, LK;09571000;095710000000;Bayern;4,39;4,73
Aschaffenburg, LK;09671000;096710000000;Bayern;0,64;0,69
Augsburg, LK;09772000;097720000000;Bayern;1,74;1,79
Aurich, LK;03452000;034520000000;Niedersachsen;6,30;6,37
Bad Dürkheim, LK;07332000;073320000000;Rheinland-Pfalz;0,69;0,75
Bad Kissingen, LK;09672000;096720000000;Bayern;2,56;3,22
Bad Kreuznach, LK;07133000;071330000000;Rheinland-Pfalz;1,81;1,84
Bad Tölz-Wolfratshausen, LK;09173000;091730000000;Bayern;0,74;0,80
Bamberg, LK;09471000;094710000000;Bayern;1,90;2,00
Barnim, LK;12060000;120600000000;Brandenburg;4,43;4,84
Bautzen, LK;14625000;146250000000;Sachsen;1,58;1,66
Bayreuth, LK;09472000;094720000000;Bayern;2,65;2,71
Berchtesgadener Land, LK;09172000;091720000000;Bayern;0,90;0,94
Bergstraße, LK;06431000;064310000000;Hessen;0,69;0,74
Bernkastel-Wittlich, LK;07231000;072310000000;Rheinland-Pfalz;4,01;4,13
Biberach, LK;08426000;084260000000;Baden-Württemberg;2,16;2,27
Birkenfeld, LK;07134000;071340000000;Rheinland-Pfalz;2,64;2,67
Böblingen, LK;08115000;081150000000;Baden-Württemberg;0,36;0,40
Bodenseekreis, LK;08435000;084350000000;Baden-Württemberg;0,64;0,71
Börde, LK;15083000;150830000000;Sachsen-Anhalt;6,06;6,21
Borken, LK;05554000;055540000000;Nordrhein-Westfalen;3,29;3,52
Breisgau-Hochschwarzwald, LK;08315000;083150000000;Baden-Württemberg;0,71;0,77
Burgenlandkreis, LK;15084000;150840000000;Sachsen-Anhalt;4,48;4,66
Calw, LK;08235000;082350000000;Baden-Württemberg;1,00;1,05
Celle, LK;03351000;033510000000;Niedersachsen;1,69;1,72
Cham, LK;09372000;093720000000;Bayern;2,07;2,17
Cloppenburg, LK;03453000;034530000000;Niedersachsen;5,20;5,28
Coburg, LK;09473000;094730000000;Bayern;2,20;2,40
Cochem-Zell, LK;07135000;071350000000;Rheinland-Pfalz;4,65;4,72
Coesfeld, LK;05558000;055580000000;Nordrhein-Westfalen;2,13;2,58
Cuxhaven, LK;03352000;033520000000;Niedersachsen;4,91;5,02
Dachau, LK;09174000;091740000000;Bayern;1,41;1,46
Dahme-Spreewald, LK;12061000;120610000000;Brandenburg;5,72;5,79
Darmstadt-Dieburg, LK;06432000;064320000000;Hessen;0,41;0,44
Deggendorf, LK;09271000;092710000000;Bayern;3,07;3,50
Diepholz, LK;03251000;032510000000;Niedersachsen;5,30;5,54
Dillingen an der Donau, LK;09773000;097730000000;Bayern;3,34;3,41
Dingolfing-Landau, LK;09279000;092790000000;Bayern;4,80;5,00
Dithmarschen, LK;01051000;010510000000;Schleswig-Holstein;19,27;19,70
Donau-Ries, LK;09779000;097790000000;Bayern;3,35;3,47
Donnersbergkreis, LK;07333000;073330000000;Rheinland-Pfalz;4,61;4,76
Düren, LK;05358000;053580000000;Nordrhein-Westfalen;2,35;2,57
Ebersberg, LK;09175000;091750000000;Bayern;0,74;0,82
Eichsfeld, LK;16061000;160610000000;Thüringen;1,64;1,96
Eichstätt, LK;09176000;091760000000;Bayern;2,58;2,86
Eifelkreis Bitburg-Prüm, LK;07232000;072320000000;Rheinland-Pfalz;6,84;7,00
Elbe-Elster, LK;12062000;120620000000;Brandenburg;10,03;10,33
Emmendingen, LK;08316000;083160000000;Baden-Württemberg;0,94;1,04
Emsland, LK;03454000;034540000000;Niedersachsen;5,84;6,13
Ennepe-Ruhr-Kreis, LK;05954000;059540000000;Nordrhein-Westfalen;0,19;0,22
Enzkreis, LK;08236000;082360000000;Baden-Württemberg;0,54;0,61
Erding, LK;09177000;091770000000;Bayern;2,02;2,09
Erlangen-Höchstadt, LK;09572000;095720000000;Bayern;1,12;1,17
Erzgebirgskreis, LK;14521000;145210000000;Sachsen;0,70;0,76
Esslingen, LK;08116000;081160000000;Baden-Württemberg;0,30;0,33
Euskirchen, LK;05366000;053660000000;Nordrhein-Westfalen;1,95;2,13
Forchheim, LK;09474000;094740000000;Bayern;1,25;1,31
Freising, LK;09178000;091780000000;Bayern;1,69;1,93
Freudenstadt, LK;08237000;082370000000;Baden-Württemberg;1,14;1,22
Freyung-Grafenau, LK;09272000;092720000000;Bayern;2,05;2,17
Friesland, LK;03455000;034550000000;Niedersachsen;4,26;4,30
Fulda, LK;06631000;066310000000;Hessen;1,09;1,17
Fürstenfeldbruck, LK;09179000;091790000000;Bayern;0,61;0,66
Fürth, LK;09573000;095730000000;Bayern;1,28;1,43
Garmisch-Partenkirchen, LK;09180000;091800000000;Bayern;0,61;0,64
Germersheim, LK;07334000;073340000000;Rheinland-Pfalz;1,17;1,22
Gießen, LK;06531000;065310000000;Hessen;0,60;0,64
Gifhorn, LK;03151000;031510000000;Niedersachsen;1,66;1,98
Göppingen, LK;08117000;081170000000;Baden-Württemberg;0,98;1,03
Görlitz, LK;14626000;146260000000;Sachsen;1,87;1,94
Goslar, LK;03153000;031530000000;Niedersachsen;0,90;0,95
Gotha, LK;16067000;160670000000;Thüringen;1,27;1,39
Göttingen, LK;03159000;031590000000;Niedersachsen;0,88;0,93
Grafschaft Bentheim;03456000;034560000000;Niedersachsen;3,19;3,29
Greiz, LK;16076000;160760000000;Thüringen;2,07;2,18
Groß-Gerau, LK;06433000;064330000000;Hessen;0,32;0,35
Günzburg, LK;09774000;097740000000;Bayern;2,36;2,46
Gütersloh, LK;05754000;057540000000;Nordrhein-Westfalen;0,99;1,04
Hameln-Pyrmont, LK;03252000;032520000000;Niedersachsen;1,83;1,87
Harburg, LK;03353000;033530000000;Niedersachsen;1,39;1,42
Harz, LK;15085000;150850000000;Sachsen-Anhalt;2,52;2,65
Haßberge, LK;09674000;096740000000;Bayern;3,21;3,97
Havelland, LK;12063000;120630000000;Brandenburg;3,14;3,37
Heidekreis, LK;03358000;033580000000;Niedersachsen;3,03;3,27
Heidenheim, LK;08135000;081350000000;Baden-Württemberg;1,93;2,36
