Strom aus erneuerbaren Quellen
Kreisfreie Städte

Kommune;GKZ;ARS;Bundesland;Demografietyp;"2020
Strom aus erneuerbaren Quellen (kW je Einwohner:in)";"2021
Strom aus erneuerbaren Quellen (kW je Einwohner:in)"
Amberg;09361000;093610000000;Bayern;Typ 2;0,60;0,65
Ansbach;09561000;095610000000;Bayern;Typ 6;1,15;1,34
Aschaffenburg;09661000;096610000000;Bayern;Typ 6;0,28;0,30
Augsburg;09761000;097610000000;Bayern;Typ 7;0,27;0,29
Baden-Baden;08211000;082110000000;Baden-Württemberg;Typ 10;0,43;0,48
Bamberg;09461000;094610000000;Bayern;Typ 7;0,33;0,35
Bayreuth;09462000;094620000000;Bayern;Typ 7;0,27;0,31
Berlin;11000000;110000000000;Berlin;Typ 7;0,05;0,06
Bielefeld;05711000;057110000000;Nordrhein-Westfalen;Typ 7;0,34;0,36
Bochum;05911000;059110000000;Nordrhein-Westfalen;Typ 7;0,14;0,15
Bonn;05314000;053140000000;Nordrhein-Westfalen;Typ 7;0,06;0,07
Bottrop;05512000;055120000000;Nordrhein-Westfalen;Typ 6;0,50;0,52
Brandenburg an der Havel;12051000;120510000000;Brandenburg;Typ 2;1,32;1,34
Braunschweig;03101000;031010000000;Niedersachsen;Typ 7;0,16;0,19
Bremen;04011000;040110000000;Bremen, BL;Typ 7;0,33;0,34
Bremerhaven;04012000;040120000000;Bremen, BL;Typ 6;0,75;0,77
Chemnitz;14511000;145110000000;Sachsen;Typ 7;0,41;0,46
Coburg;09463000;094630000000;Bayern;Typ 2;0,72;0,75
Cottbus;12052000;120520000000;Brandenburg;Typ 2;1,53;1,72
Darmstadt;06411000;064110000000;Hessen;Typ 7;0,09;0,11
Delmenhorst;03401000;034010000000;Niedersachsen;Typ 6;0,20;0,38
Dessau-Roßlau;15001000;150010000000;Sachsen-Anhalt;Typ 1;0,95;1,04
Dortmund;05913000;059130000000;Nordrhein-Westfalen;Typ 7;0,13;0,14
Dresden;14612000;146120000000;Sachsen;Typ 7;0,10;0,10
Duisburg;05112000;051120000000;Nordrhein-Westfalen;Typ 6;0,08;0,10
Düsseldorf;05111000;051110000000;Nordrhein-Westfalen;Typ 7;0,22;0,23
Emden;03402000;034020000000;Niedersachsen;Typ 6;4,67;4,72
Erfurt;16051000;160510000000;Thüringen;Typ 7;0,45;0,50
Erlangen;09562000;095620000000;Bayern;Typ 11;0,23;0,26
Essen;05113000;051130000000;Nordrhein-Westfalen;Typ 7;0,10;0,11
Flensburg;01001000;010010000000;Schleswig-Holstein;Typ 7;0,99;1,00
Frankenthal (Pfalz);07311000;073110000000;Rheinland-Pfalz;Typ 6;0,32;0,33
Frankfurt am Main;06412000;064120000000;Hessen;Typ 7;0,09;0,10
Frankfurt (Oder);12053000;120530000000;Brandenburg;Typ 2;0,91;1,00
Freiburg im Breisgau;08311000;083110000000;Baden-Württemberg;Typ 7;0,33;0,35
Fürth;09563000;095630000000;Bayern;Typ 7;0,28;0,29
Gelsenkirchen;05513000;055130000000;Nordrhein-Westfalen;Typ 6;0,10;0,11
Gera;16052000;160520000000;Thüringen;Typ 2;0,43;0,46
Hagen;05914000;059140000000;Nordrhein-Westfalen;Typ 6;0,46;0,47
Halle (Saale);15002000;150020000000;Sachsen-Anhalt;Typ 7;0,52;0,54
Hamburg;02000000;020000000000;Hamburg;Typ 7;0,12;0,12
Hamm;05915000;059150000000;Nordrhein-Westfalen;Typ 6;0,51;0,57
Heidelberg;08221000;082210000000;Baden-Württemberg;Typ 11;0,22;0,24
Heilbronn;08121000;081210000000;Baden-Württemberg;Typ 6;0,35;0,37
Herne;05916000;059160000000;Nordrhein-Westfalen;Typ 7;0,06;0,08
Hof;09464000;094640000000;Bayern;Typ 6;0,36;0,56
Ingolstadt;09161000;091610000000;Bayern;Typ 5;0,51;0,54
Jena;16053000;160530000000;Thüringen;Typ 7;0,13;0,15
Kaiserslautern;07312000;073120000000;Rheinland-Pfalz;Typ 6;0,64;0,68
Karlsruhe;08212000;082120000000;Baden-Württemberg;Typ 7;0,14;0,16
Kassel;06611000;066110000000;Hessen;Typ 7;0,27;0,28
Kaufbeuren;09762000;097620000000;Bayern;Typ 6;0,57;0,60
Kempten (Allgäu);09763000;097630000000;Bayern;Typ 6;0,66;0,70
Kiel;01002000;010020000000;Schleswig-Holstein;Typ 7;0,05;0,06
Koblenz;07111000;071110000000;Rheinland-Pfalz;Typ 7;0,30;0,33
Köln;05315000;053150000000;Nordrhein-Westfalen;Typ 7;0,08;0,09
Krefeld;05114000;051140000000;Nordrhein-Westfalen;Typ 7;0,23;0,25
Landau in der Pfalz;07313000;073130000000;Rheinland-Pfalz;Typ 6;0,61;0,64
Landshut;09261000;092610000000;Bayern;Typ 6;1,15;1,21
Leipzig;14713000;147130000000;Sachsen;Typ 7;0,20;0,21
Leverkusen;05316000;053160000000;Nordrhein-Westfalen;Typ 7;0,08;0,10
Lübeck;01003000;010030000000;Schleswig-Holstein;Typ 6;0,19;0,20
Ludwigshafen am Rhein;07314000;073140000000;Rheinland-Pfalz;Typ 7;0,13;0,14
Magdeburg;15003000;150030000000;Sachsen-Anhalt;Typ 7;0,32;0,34
Mainz;07315000;073150000000;Rheinland-Pfalz;Typ 7;0,22;0,24
Mannheim;08222000;082220000000;Baden-Württemberg;Typ 7;0,34;0,35
Memmingen;09764000;097640000000;Bayern;Typ 4;0,75;0,78
Mönchengladbach;05116000;051160000000;Nordrhein-Westfalen;Typ 6;0,36;0,38
Mülheim an der Ruhr;05117000;051170000000;Nordrhein-Westfalen;Typ 7;0,19;0,20
München;09162000;091620000000;Bayern;Typ 7;0,07;0,08
Münster;05515000;055150000000;Nordrhein-Westfalen;Typ 7;0,54;0,60
Neumünster;01004000;010040000000;Schleswig-Holstein;Typ 6;0,19;0,21
Neustadt an der Weinstraße;07316000;073160000000;Rheinland-Pfalz;Typ 5;0,46;0,51
Nürnberg;09564000;095640000000;Bayern;Typ 7;0,13;0,14
Oberhausen;05119000;051190000000;Nordrhein-Westfalen;Typ 7;0,08;0,09
Offenbach am Main;06413000;064130000000;Hessen;Typ 7;0,09;0,10
Oldenburg (Oldenburg);03403000;034030000000;Niedersachsen;Typ 7;0,33;0,35
Osnabrück;03404000;034040000000;Niedersachsen;Typ 7;0,24;0,27
Passau;09262000;092620000000;Bayern;Typ 7;3,39;3,39
Pforzheim;08231000;082310000000;Baden-Württemberg;Typ 6;0,33;0,35
Pirmasens;07317000;073170000000;Rheinland-Pfalz;Typ 2;0,52;0,55
Potsdam;12054000;120540000000;Brandenburg;Typ 7;0,56;0,57
Regensburg;09362000;093620000000;Bayern;Typ 7;0,36;0,38
Remscheid;05120000;051200000000;Nordrhein-Westfalen;Typ 6;0,10;0,11
Rosenheim;09163000;091630000000;Bayern;Typ 7;0,39;0,42
Rostock;13003000;130030000000;Mecklenburg-Vorpommern;Typ 7;0,22;0,27
Salzgitter;03102000;031020000000;Niedersachsen;Typ 6;1,57;1,59
Schwabach;09565000;095650000000;Bayern;Typ 5;0,34;0,38
Schweinfurt;09662000;096620000000;Bayern;Typ 6;0,45;0,48
Schwerin;13004000;130040000000;Mecklenburg-Vorpommern;Typ 6;0,78;0,80
Solingen;05122000;051220000000;Nordrhein-Westfalen;Typ 6;0,15;0,17
Speyer;07318000;073180000000;Rheinland-Pfalz;Typ 5;0,26;0,31
Straubing;09263000;092630000000;Bayern;Typ 6;1,70;1,74
Stuttgart;08111000;081110000000;Baden-Württemberg;Typ 7;0,10;0,11
Suhl;16054000;160540000000;Thüringen;;0,23;0,26
Trier;07211000;072110000000;Rheinland-Pfalz;Typ 7;0,53;0,56
Ulm;08421000;084210000000;Baden-Württemberg;Typ 7;0,98;1,02
Weiden in der Oberpfalz;09363000;093630000000;Bayern;Typ 2;0,65;0,83
Weimar;16055000;160550000000;Thüringen;Typ 7;0,22;0,25
Wiesbaden;06414000;064140000000;Hessen;Typ 7;0,13;0,14
Wilhelmshaven;03405000;034050000000;Niedersachsen;Typ 2;1,45;1,71
Wolfsburg;03103000;031030000000;Niedersachsen;Typ 5;0,21;0,24
Worms;07319000;073190000000;Rheinland-Pfalz;Typ 6;0,64;0,65
Wuppertal;05124000;051240000000;Nordrhein-Westfalen;Typ 7;0,11;0,12
Würzburg;09663000;096630000000;Bayern;Typ 7;0,23;0,25
Zweibrücken;07320000;073200000000;Rheinland-Pfalz;Typ 2;0,52;0,55

"k.A. = keine Angaben bei fehlender Verfügbarkeit, aufgrund von
Gebietsstandsänderungen bzw. aus methodischen und inhaltlichen Gründen;
weitere Detailinformationen finden Sie auf der Seite Methodik."
Quelle: Bundesnetzagentur,  Statistische Ämter der Länder
"Datenlizenz Deutschland - Namensnennung - Version 2.0
https://www.govdata.de/dl-de/by-2-0"

Quellenangabe bei Verwendung der Daten:
"Bertelsmann Stiftung
www.wegweiser-kommune.de
https://www.wegweiser-kommune.de"

Die Indikatorenerläuterungen finden Sie hier:
https://www.wegweiser-kommune.de/data-api/rest/indicator/export/strom-aus-erneuerbaren-quellen.pdf
